label,state,amine,radius,Vbur_pct,Vbur_abs,Vfree,Q_NE,Q_NW,Q_SW,Q_SE
2A_AMP,2A,AMP,3.5,0.19021967014535968,34.162383729308154,145.43199630090837,30.646664181885946,45.441203876257916,0.0,0.0
2A_BEMT,2A,BEMT,3.5,0.19931629705553486,35.79608679960725,143.79829323060926,34.129239657100264,45.597279165113676,0.0,0.0
2A_BENZ,2A,BENZ,3.5,0.18636437756243013,33.46999484804183,146.12438518217468,36.47968691762952,38.06606410734253,0.0,0.0
2A_BMAE,2A,BMAE,3.5,0.20225726798360044,36.32426865012008,143.27011138009644,37.94027208348864,42.96263510995154,0.0,0.0
2A_BOX,2A,BOX,3.5,0.18822796310100634,33.804684337475706,145.7896956927408,38.04276928811032,37.24841595229221,0.0,0.0
2A_DADP,2A,DADP,3.5,0.1924850913156914,34.56924063990121,145.0251393903153,31.881289601192698,45.11274692508386,0.0,0.0
2A_DBUA,2A,DBUA,3.5,0.2214172568020872,39.765294963362095,139.82908506685442,34.744222884830414,53.82267983600447,0.0,0.0
2A_DEA,2A,DEA,3.5,0.2183481643682445,39.21410321045068,140.38027681976584,34.69763324636601,52.64163250093179,0.0,0.0
2A_DEGE,2A,DEGE,3.5,0.1747810286992173,31.38969049027941,148.2046895399371,34.28065598210958,35.63175549757734,0.0,0.0
2A_DEPA,2A,DEPA,3.5,0.1747227916511368,31.379231443734604,148.21514858648192,34.19213566902721,35.69698099142751,0.0,0.0
2A_DETA,2A,DETA,3.5,0.16755963473723443,30.092768718723146,149.50161131149338,34.57882966828177,32.445024226612,0.0,0.0
2A_DMDP,2A,DMDP,3.5,0.1724864890048453,30.977604056413952,148.61677597380256,32.731550503168094,36.263045098770036,0.0,0.0
2A_DMEDA,2A,DMEDA,3.5,0.1656494595601938,29.749711992053427,149.8446680381631,33.00177040626164,33.258013417815874,0.0,0.0
2A_EAE,2A,EAE,3.5,0.2199089172568021,39.49440565785155,140.09997437236495,34.35054043980619,53.61302646291465,0.0,0.0
2A_EDA,2A,EDA,3.5,0.14462588520313083,25.973996189377544,153.62038384083897,27.669586284010435,30.18076779724189,0.0,0.0
2A_INDO,2A,INDO,3.5,0.17430930860976518,31.30497221326646,148.28940781695005,33.40710026090198,36.3166231830041,0.0,0.0
2A_ISBZ,2A,ISBZ,3.5,0.22152790719344018,39.78516715179723,139.8092128784193,40.169586284010435,48.44157659336564,0.0,0.0
2A_MEPI,2A,MEPI,3.5,0.16651719157659337,29.905551785571078,149.68882824464544,29.453969437197166,37.15290719344018,0.0,0.0
2A_METOX,2A,METOX,3.5,0.14282636041744315,25.65081165114296,153.94356837907355,27.23164368244502,29.89890048453224,0.0,0.0
2A_MOR,2A,MOR,3.5,0.16536409802459934,29.698462663983868,149.89591736623265,29.29090570257175,36.85473350726798,0.0,0.0
2A_MTL,2A,MTL,3.5,0.18114051434960865,32.5318183729725,147.062561657244,33.34653373089825,39.10967200894521,0.0,0.0
2A_NMA,2A,NMA,3.5,0.18401160081997764,33.047449367631565,146.54693066258494,35.109951546776,38.49468878121505,0.0,0.0
2A_OCTA,2A,OCTA,3.5,0.16726262579202386,30.03942758134463,149.5549524488719,34.19446515095043,32.710585165859115,0.0,0.0
2A_OTL,2A,OTL,3.5,0.19608996459187478,35.216655621024856,144.37772440919167,34.168840849795004,44.267144986954904,0.0,0.0
2A_PIP,2A,PIP,3.5,0.1676353428997391,30.106365479231403,149.4880145509851,29.56345508758852,37.490682072307116,0.0,0.0
2A_THQ,2A,THQ,3.5,0.19942694744688783,35.81595898804239,143.77842104217413,35.11926947446888,44.65150950428625,0.0,0.0
